Service,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,SwaggerCommit,SwaggerTag,SdkChangelog,Comment
Azure Resource Manager - DataBoundaries,microsoft.resources,resources/Microsoft.Resources/databoundaries,,NotStarted,,,AlreadyTypeSpec,,,sdk/resourcemanager/resources/armbicep,,,,,,"From Dry Run Release sheet (row 131). DryRun: .Net=NotStarted, Java=Premium, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Resource Manager - Subscriptions,microsoft.resources,resources/Microsoft.Resources/subscriptions,,Core lib,,,AlreadyTypeSpec,,,sdk/resourcemanager/resources/armbicep,,,,,,"From Dry Run Release sheet (row 132). DryRun: .Net=Core lib, Java=Premium, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Resource Manager - Bicep,microsoft.resources,resources/Microsoft.Resources/bicep,,Done,,,AlreadyTypeSpec,,,sdk/resourcemanager/resources/armbicep,,,,,,"From Dry Run Release sheet (row 133). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure Resource Manager - DeploymentStacks,microsoft.resources,resources/Microsoft.Resources/deploymentstakcs,,Done,,,AlreadyTypeSpec,,,sdk/resourcemanager/resources/armbicep,,,,,,"From Dry Run Release sheet (row 134). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Group RP,microsoft.management,management/Microsoft.Management/ServiceGroups,,Done,,,NoSpec,,,,,,,,,"From Dry Run Release sheet (row 135). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Custom Location,microsoft.extendedlocation,extendedlocation,,NotStarted,,,,specification/extendedlocation/resource-manager/Microsoft.ExtendedLocation/CustomLocations/tspconfig.yaml,,sdk/resourcemanager/extendedlocation/armextendedlocation,,,,,,"From Dry Run Release sheet (row 136). DryRun: .Net=NotStarted, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure IoT Hub,microsoft.devices,iothub,,NotStarted,,,,specification/iothub/resource-manager/Microsoft.Devices/IoTHub/tspconfig.yaml,,sdk/resourcemanager/iothub/armiothub,,,,,,"From Dry Run Release sheet (row 137). DryRun: .Net=NotStarted, Java=Released, Py=NotStarted, JS=NotStarted, Go=NotStarted."
AgriculturePlatform,microsoft.agricultureplatform,agricultureplatform,,Done,,,AlreadyTypeSpec,specification/agricultureplatform/AgriculturePlatform.Management/tspconfig.yaml,,sdk/resourcemanager/agricultureplatform/armagricultureplatform,,,,,,"From Dry Run Release sheet (row 138). DryRun: .Net=Done, Java=Done, Py=Released, JS=NotStarted, Go=NotStarted."
ApiCenter,microsoft.apicenter,apicenter,,Done,,,,specification/apicenter/ApiCenter.Management/tspconfig.yaml,,sdk/resourcemanager/apicenter/armapicenter,,,,,,"From Dry Run Release sheet (row 139). DryRun: .Net=Done, Java=NotStarted, Py=NotStarted, JS=NotStarted, Go=NotStarted."
AppComplianceAutomation,microsoft.appcomplianceautomation,appcomplianceautomation,,Done,,,,specification/appcomplianceautomation/AppComplianceAutomation.Management/tspconfig.yaml,,sdk/resourcemanager/appcomplianceautomation/armappcomplianceautomation,,,,,,"From Dry Run Release sheet (row 140). DryRun: .Net=Done, Java=NotStarted, Py=NotStarted, JS=NotStarted, Go=NotStarted."
AppNetwork,microsoft.applink,applink,,Done,,,,specification/applink/AppLink.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 141). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
ArizeAIObservabilityEval,arizeai.observabilityeval,liftrarize,,Done,,,,specification/liftrarize/ArizeAi.ObservabilityEval.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 142). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
ArtifactSigning,microsoft.codesigning,codesigning,,Done,,,,specification/codesigning/CodeSigning.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 143). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Astro,astronomer.astro,liftrastronomer,,Done,,,,specification/liftrastronomer/Astronomer.Astro.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 144). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Avs,microsoft.avs,vmware,,Done,,,,specification/vmware/resource-manager/Microsoft.AVS/AVS/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 145). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Azure LargeInstance,microsoft.azurelargeinstance,azurelargeinstance,,Done,,,,specification/azurelargeinstance/resource-manager/Microsoft.AzureLargeInstance/AzureLargeInstance/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 146). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
CarbonOptimization,microsoft.carbon,carbon,,Done,,,,specification/carbon/Carbon.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 148). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Chaos,microsoft.chaos,chaos,,Done,,,AlreadyTypeSpec,specification/chaos/resource-manager/Microsoft.Chaos/Chaos/tspconfig.yaml,,sdk/resourcemanager/chaos/armchaos,,,,,,"From Dry Run Release sheet (row 149). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
CloudHealth,microsoft.cloudhealth,cloudhealth,,Done,,,AlreadyTypeSpec,specification/cloudhealth/CloudHealth.Management/tspconfig.yaml,,sdk/resourcemanager/cloudhealth/armcloudhealth,,,,,,"From Dry Run Release sheet (row 150). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
ComputeFleet,microsoft.azurefleet,azurefleet,,Done,,,,specification/azurefleet/resource-manager/Microsoft.AzureFleet/AzureFleet/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 151). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
ComputeLimit,microsoft.computelimit,computelimit,,Done,,,AlreadyTypeSpec,specification/computelimit/resource-manager/Microsoft.ComputeLimit/ComputeLimit/tspconfig.yaml,,sdk/resourcemanager/computelimit/armcomputelimit,,,,,,"From Dry Run Release sheet (row 152). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
ComputeSchedule,microsoft.computeschedule,computeschedule,,Done,,,AlreadyTypeSpec,specification/computeschedule/ComputeSchedule.Management/tspconfig.yaml,,sdk/resourcemanager/computeschedule/armcomputeschedule,,,,,,"From Dry Run Release sheet (row 153). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
ConnectedCache,microsoft.connectedcache,connectedcache,,Done,,,AlreadyTypeSpec,specification/connectedcache/ConnectedCache.Management/tspconfig.yaml,,sdk/resourcemanager/connectedcache/armconnectedcache,,,,,,"From Dry Run Release sheet (row 154). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
ContainerOrchestratorRuntime,microsoft.kubernetesruntime,kubernetesruntime,,Done,,,,specification/kubernetesruntime/KubernetesRuntime.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 155). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
DatabaseWatcher,microsoft.databasewatcher,databasewatcher,,Done,,,AlreadyTypeSpec,specification/databasewatcher/DatabaseWatcher.Management/tspconfig.yaml,,sdk/resourcemanager/databasewatcher/armdatabasewatcher,,,,,,"From Dry Run Release sheet (row 157). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
Dell Storage,dell.storage,dell,,Done,,,AlreadyTypeSpec,specification/dell/Dell.Storage.Management/tspconfig.yaml,,sdk/resourcemanager/dell/armdellstorage,,,,,,"From Dry Run Release sheet (row 158). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
DependencyMap,microsoft.dependencymap,azuredependencymap,,Done,,,,specification/azuredependencymap/DependencyMap.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 159). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
DesktopVirtualization,microsoft.desktopvirtualization,desktopvirtualization,,Done,,,,specification/desktopvirtualization/resource-manager/Microsoft.DesktopVirtualization/DesktopVirtualization/tspconfig.yaml,,sdk/resourcemanager/desktopvirtualization/armdesktopvirtualization,,,,,,"From Dry Run Release sheet (row 160). DryRun: .Net=Done, Java=NotStarted, Py=NotStarted, JS=NotStarted, Go=NotStarted."
DeviceRegistry,microsoft.deviceregistry,deviceregistry,,Done,,,AlreadyTypeSpec,specification/deviceregistry/DeviceRegistry.Management/tspconfig.yaml,,sdk/resourcemanager/deviceregistry/armdeviceregistry,,,,,,"From Dry Run Release sheet (row 161). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
DevOpsInfrastructure,microsoft.devopsinfrastructure,devopsinfrastructure,,Done,,,AlreadyTypeSpec,specification/devopsinfrastructure/Microsoft.DevOpsInfrastructure.Management/tspconfig.yaml,,sdk/resourcemanager/devopsinfrastructure/armdevopsinfrastructure,,,,,,"From Dry Run Release sheet (row 162). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
DevTestLabs,microsoft.devtestlab,devtestlabs,,Done,,,,specification/devtestlabs/resource-manager/Microsoft.DevTestLab/DevTestLabs/tspconfig.yaml,,sdk/resourcemanager/devtestlabs/armdevtestlabs,,,,,,"From Dry Run Release sheet (row 163). DryRun: .Net=Done, Java=NotStarted, Py=NotStarted, JS=NotStarted, Go=NotStarted."
DisconnectedOperations,microsoft.edge,edge,,Done,,,,specification/edge/Microsoft.Edge.ConfigurationManager.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 164). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
DurableTask,microsoft.durabletask,durabletask,,Done,,,AlreadyTypeSpec,specification/durabletask/DurableTask.Management/tspconfig.yaml,,sdk/resourcemanager/durabletask/armdurabletask,,,,,,"From Dry Run Release sheet (row 165). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
EdgeActions,microsoft.edge,edge,,Done,,,,specification/edge/Microsoft.Edge.ConfigurationManager.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 166). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
EdgeZones,microsoft.edgezones,edgezones,,Done,,,AlreadyTypeSpec,specification/edgezones/EdgeZones.Management/tspconfig.yaml,,sdk/resourcemanager/edgezones/armedgezones,,,,,,"From Dry Run Release sheet (row 167). DryRun: .Net=Done, Java=Released, Py=Released, JS=NotStarted, Go=NotStarted."
FileShares,microsoft.fileshares,fileshares,,Done,,,AlreadyTypeSpec,specification/fileshares/resource-manager/Microsoft.FileShares/FileShares/tspconfig.yaml,,sdk/resourcemanager/fileshares/armfileshares,,,,,,"From Dry Run Release sheet (row 168). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
HealthDataAIServices,microsoft.healthdataaiservices,healthdataaiservices,,Done,,,AlreadyTypeSpec,specification/healthdataaiservices/HealthDataAIServices.Management/tspconfig.yaml,,sdk/resourcemanager/healthdataaiservices/armhealthdataaiservices,,,,,,"From Dry Run Release sheet (row 170). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
HybridConnectivity,microsoft.hybridconnectivity,hybridconnectivity,,Done,,,AlreadyTypeSpec,specification/hybridconnectivity/HybridConnectivity.Management/tspconfig.yaml,,sdk/resourcemanager/hybridconnectivity/armhybridconnectivity,,,,,,"From Dry Run Release sheet (row 171). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
ImpactReporting,microsoft.impact,impact,,Done,,,,specification/impact/Impact.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 172). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
InformaticaDataManagement,informatica.datamanagement,informatica,,Done,,,,specification/informatica/Informatica.DataManagement.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 173). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
IotOperations,microsoft.iotoperations,iotoperations,,Done,,,AlreadyTypeSpec,specification/iotoperations/IoTOperations.Management/tspconfig.yaml,,sdk/resourcemanager/iotoperations/armiotoperations,,,,,,"From Dry Run Release sheet (row 174). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
LambdaTestHyperExecute,lambdatest.hyperexecute,liftrhyperexecute,,Done,,,,specification/liftrhyperexecute/LambdaTest.HyperExecute.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 175). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
LoadTesting,microsoft.loadtestservice,loadtestservice,,Done,,,,specification/loadtestservice/resource-manager/Microsoft.LoadTestService/loadtesting/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 176). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
ManagedOps,microsoft.managedops,managedoperations,,Done,,,,specification/managedoperations/ManagedOps.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 177). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
MongoCluster,microsoft.documentdb,mongocluster,,Done,,,AlreadyTypeSpec,specification/mongocluster/resource-manager/Microsoft.DocumentDB/MongoCluster/tspconfig.yaml,,sdk/resourcemanager/mongocluster/armmongocluster,,,,,,"From Dry Run Release sheet (row 178). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
MongoDBAtlas,mongodb.atlas,liftrmongodb,,Done,,,,specification/liftrmongodb/MongoDB.Atlas.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 179). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
OnlineExperimentation,microsoft.onlineexperimentation,onlineexperimentation,,Done,,,AlreadyTypeSpec,specification/onlineexperimentation/OnlineExperimentation.Management/tspconfig.yaml,,sdk/resourcemanager/onlineexperimentation/armonlineexperimentation,,,,,,"From Dry Run Release sheet (row 180). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
PineconeVectorDB,pinecone.vectordb,liftrpinecone,,Done,,,,specification/liftrpinecone/Pinecone.VectorDb.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 181). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
PlanetaryComputer,microsoft.orbital,orbitalplanetarycomputer,,Done,,,,specification/orbitalplanetarycomputer/Orbital.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 182). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Playwright,microsoft.azureplaywrightservice,playwrighttesting,,Done,,,,specification/playwrighttesting/PlaywrightTesting.Management/tspconfig.yaml,,sdk/resourcemanager/playwrighttesting/armplaywrighttesting,,,,,,"From Dry Run Release sheet (row 183). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
PortalServicesCopilot,microsoft.portalservices,portalservices,,Done,,,,specification/portalservices/CopilotSettings.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 184). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
PureStorageBlock,purestorage.block,purestorage,,Done,,,,specification/purestorage/PureStorage.Block.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 185). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Quantum,microsoft.quantum,quantum,,Done,,,,specification/quantum/Microsoft.Quantum.Management/tspconfig.yaml,,sdk/resourcemanager/quantum/armquantum,,,,,,"From Dry Run Release sheet (row 186). DryRun: .Net=Done, Java=NotStarted, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Qumulo,qumulo.storage,liftrqumulo,,Done,,,,specification/liftrqumulo/Qumulo.Storage.Management/tspconfig.yaml,,sdk/resourcemanager/liftrqumulo/armqumulo,,,,,,"From Dry Run Release sheet (row 187). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
RecoveryServicesDataReplication,microsoft.datareplication,recoveryservicesdatareplication,,Done,,,AlreadyTypeSpec,specification/recoveryservicesdatareplication/resource-manager/Microsoft.DataReplication/DataReplication/tspconfig.yaml,,sdk/resourcemanager/recoveryservicesdatareplication/armrecoveryservicesdatareplication,,,,,,"From Dry Run Release sheet (row 188). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
Relationships,microsoft.relationships,relationships,,Done,,,AlreadyTypeSpec,specification/relationships/Relationships.Management/tspconfig.yaml,,sdk/resourcemanager/relationships/armrelationships,,,,,,"From Dry Run Release sheet (row 189). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
SecretsStoreExtension,microsoft.secretsynccontroller,ews,,Done,,,,specification/ews/SecretSyncController.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 190). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
ServiceNetworking,microsoft.servicenetworking,servicenetworking,,Done,,,AlreadyTypeSpec,specification/servicenetworking/resource-manager/Microsoft.ServiceNetworking/ServiceNetworking/tspconfig.yaml,,sdk/resourcemanager/servicenetworking/armservicenetworking,,,,,,"From Dry Run Release sheet (row 191). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
SiteManager,microsoft.edge,edge,,Done,,,,specification/edge/Microsoft.Edge.ConfigurationManager.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 192). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
Sphere,microsoft.azuresphere,sphere,,Done,,,,specification/sphere/Sphere.Management/tspconfig.yaml,,sdk/resourcemanager/sphere/armsphere,,,,,,"From Dry Run Release sheet (row 193). DryRun: .Net=Done, Java=NotStarted, Py=NotStarted, JS=NotStarted, Go=NotStarted."
StandbyPool,microsoft.standbypool,standbypool,,Done,,,AlreadyTypeSpec,specification/standbypool/StandbyPool.Management/tspconfig.yaml,,sdk/resourcemanager/standbypool/armstandbypool,,,,,,"From Dry Run Release sheet (row 194). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
StorageDiscovery,microsoft.storagediscovery,storagediscovery,,Done,,,AlreadyTypeSpec,specification/storagediscovery/Microsoft.StorageDiscovery.Management/tspconfig.yaml,,sdk/resourcemanager/storagediscovery/armstoragediscovery,,,,,,"From Dry Run Release sheet (row 195). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
Terraform,microsoft.azureterraform,terraform,,Done,,,AlreadyTypeSpec,specification/terraform/Microsoft.AzureTerraform.Management/tspconfig.yaml,,sdk/resourcemanager/terraform/armterraform,,,,,,"From Dry Run Release sheet (row 196). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=Released, JS=NotStarted, Go=NotStarted."
TrustedSigning,microsoft.codesigning,codesigning,,Done,,,,specification/codesigning/CodeSigning.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 197). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
WeightsAndBiases,microsoft.weightsandbiases,liftrweightsandbiases,,Done,,,,specification/liftrweightsandbiases/Liftr.WeightsAndBiases.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 199). DryRun: .Net=Done, Java=Done, Py=NotStarted, JS=NotStarted, Go=NotStarted."
WorkloadOrchestration,microsoft.edge,edge,,Done,,,,specification/edge/Microsoft.Edge.ConfigurationManager.Management/tspconfig.yaml,,,,,,,,"From Dry Run Release sheet (row 200). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
WorkloadsSapVirtualInstance,microsoft.workloads,workloads,,Done,,,,specification/workloads/Workloads.Operations.Management/tspconfig.yaml,,sdk/resourcemanager/workloads/armworkloads,,,,,,"From Dry Run Release sheet (row 201). DryRun: .Net=Done, Java=AlreadyTypeSpec, Py=NotStarted, JS=NotStarted, Go=NotStarted."
