Service,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,SwaggerCommit,SwaggerTag,SdkChangelog,Comment
App Service (Web Apps),microsoft.web,web/domainregistration,,AlreadyTypeSpec,,,Done,specification/domainregistration/resource-manager/Microsoft.DomainRegistration/DomainRegistration/tspconfig.yaml,11/1/2024,sdk/resourcemanager/domainregistration/armdomainregistration,11/1/2024,,,,,
Azure Alerts Management,Microsoft.AlertsManagement,alertsmanagement,,Done,,,Done,specification/alertsmanagement/resource-manager/Microsoft.AlertsManagement/AlertsManagement/tspconfig.yaml,,,,,44a12ed5a9045bb04ad3759bd96c32fe970a935c,,,SwaggerCommit recomputed (was empty)
Azure Stack HCI,Microsoft.AzureStackHCI,azurestackhci,,AlreadyTypeSpec,,,Done,,,,,,,,,
Usage (Usage V3),Microsoft.Commerce,commerce,,Done,,,Done,specification/commerce/resource-manager/Microsoft.Commerce/Commerce/tspconfig.yaml,,,,,1a4833df7c0f60206f6dc1c66dfab2a26ae8367a,,,SwaggerCommit recomputed (was empty)
Azure Kubernetes Service,microsoft.containerservice,containerservice,,Premium,,,Done,specification/containerservice/resource-manager/Microsoft.ContainerService/aks/tspconfig.yaml,,,,,afb3092801a3e457f8a0e95267140a6b2c5a446f,,,SwaggerCommit recomputed (was empty)
Cluster Configuration,Microsoft.KubernetesConfiguration,kubernetesconfiguration,,,,,Done,specification/kubernetesconfiguration/resource-manager/Microsoft.KubernetesConfiguration/extensions/tspconfig.yaml,,,,,13c4950c894012daedabaeb149f9628961b114af,,,SwaggerCommit recomputed (was empty)
Azure Maps,Microsoft.Maps,maps,,,,,Done,specification/maps/resource-manager/Microsoft.Maps/Maps/tspconfig.yaml,,,,,320ddd253d1d03ec996aeca7b704eb7afdcc61e5,,,SwaggerCommit recomputed (was empty)
CPX-Marketplace-PrivateMarketplace,Microsoft.Marketplace,marketplace,,,,,Done,specification/marketplace/resource-manager/Microsoft.Marketplace/Marketplace/tspconfig.yaml,,,,,63a8b0ad8a5a0974cc3be0c7a69033f6470b74b9,,,SwaggerCommit recomputed (was empty)
Network Cloud,Microsoft.NetworkCloud,networkcloud,,NO_SPEC,,,Done,specification/networkcloud/NetworkCloud.Management/tspconfig.yaml,9/1/2025,sdk/resourcemanager/networkcloud/armnetworkcloud,9/1/2025,https://github.com/Azure/azure-sdk-for-go/pull/26271,313ca227e879d1b5f6f59d9f68442a6c28fd3279,,,SwaggerCommit recomputed (was empty)
Purview,Microsoft.Purview,purview,,,,,Done,specification/purview/resource-manager/Microsoft.Purview/Purview/tspconfig.yaml,,,,,9f5b8470836fef41309ad108f95f2976317468f0,,,SwaggerCommit recomputed (was empty)
