Service,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,PreviousSdkPr,Comment
Azure SignalR Service,Microsoft.SignalRService,signalr,,Done,,,VersionNotEqual,specification/signalr/resource-manager/Microsoft.SignalRService/SignalRService/tspconfig.yaml,2025-01-01-preview,sdk/resourcemanager/signalr/armsignalr,2023-08-01-preview,,,
SRP,microsoft.storage,storage,,Premium,,,,specification/storage/Storage.Management/tspconfig.yaml,2025-06-01,sdk/resourcemanager/storage/armstorage,2025-06-01,,,
Azure Storage Mover,Microsoft.StorageMover,storagemover,,AlreadyTypeSpec,,,VersionNotEqual,specification/storagemover/StorageMover.Management/tspconfig.yaml,2024-07-01,sdk/resourcemanager/storagemover/armstoragemover,2025-07-01,,,
Xsync,microsoft.storagesync,storagesync,,Done,,,VersionNotEqual,specification/storagesync/resource-manager/Microsoft.StorageSync/StorageSync/tspconfig.yaml,2022-09-01,sdk/resourcemanager/storagesync/armstoragesync,2020-09-01,,,
Azure Support Case Mgmt,microsoft.support,support,,Done,,,,specification/support/resource-manager/Microsoft.Support/Support/tspconfig.yaml,2024-04-01,sdk/resourcemanager/support/armsupport,2024-04-01,,,
Azure SignalR Service,Microsoft.SignalRService,webpubsub,,Done,,,VersionNotEqual,specification/webpubsub/resource-manager/Microsoft.SignalRService/SignalRService/tspconfig.yaml,2025-01-01-preview,sdk/resourcemanager/webpubsub/armwebpubsub,2024-03-01,,,
Compute Recommender,,compute/Recommender,,AlreadyTypeSpec,,,,NoSpec,,,,,,
Liftr-Dynatrace,dynatrace.observability,dynatrace,,Done,,,VersionNotEqual,specification/dynatrace/Dynatrace.Management/tspconfig.yaml,2024-04-24,sdk/resourcemanager/dynatrace/armdynatrace,2023-04-27,,,
Azure App Configuration,Microsoft.AppConfiguration,appconfiguration,,AlreadyTypeSpec,,,VersionNotEqual,specification/appconfiguration/resource-manager/Microsoft.AppConfiguration/AppConfiguration/tspconfig.yaml,2025-02-01-preview,sdk/resourcemanager/appconfiguration/armappconfiguration,2025-06-01-preview,,,
CCM API - Consupmtion,microsoft.consumption,consumption,,Done,,,VersionNotEqual,specification/consumption/resource-manager/Microsoft.Consumption/Consumption/tspconfig.yaml,2024-08-01,sdk/resourcemanager/consumption/armconsumption,2021-10-01,,,
CCM API - CostManagement,microsoft.costmanagement,cost-management,,Done,,,VersionNotEqual,specification/cost-management/resource-manager/Microsoft.CostManagement/CostManagement/tspconfig.yaml,2025-03-01,sdk/resourcemanager/costmanagement/armcostmanagement,2022-10-01,,,
Azure Stack Edge Service,microsoft.databoxedge,databoxedge,,Done,,,VersionNotEqual,specification/databoxedge/resource-manager/Microsoft.DataBoxEdge/DataBoxEdge/tspconfig.yaml,2023-12-01,sdk/resourcemanager/databoxedge/armdataboxedge,2022-03-01,,,
Service Bus,Microsoft.EventHub,eventhub,,Premium,,,VersionNotEqual,specification/eventhub/resource-manager/Microsoft.EventHub/Eventhub/tspconfig.yaml,2025-05-01-preview,sdk/resourcemanager/eventhub/armeventhub,2024-05-01-preview,,,
Azure NetApp Files,Microsoft.NetApp,netapp,,AlreadyTypeSpec,,,VersionNotEqual,specification/netapp/resource-manager/Microsoft.NetApp/NetApp/tspconfig.yaml,2025-06-01,sdk/resourcemanager/netapp/armnetapp,2025-12-01,,,
Network Cloud,Microsoft.NetworkCloud,networkcloud,,NO_SPEC,,,,specification/networkcloud/NetworkCloud.Management/tspconfig.yaml,2025-09-01,sdk/resourcemanager/networkcloud/armnetworkcloud,2025-09-01,,,
Liftr-Newrelic,NewRelic.Observability,newrelic,,Done,,,,specification/newrelic/NewRelicObservability.Management/tspconfig.yaml,2025-05-01-preview,sdk/resourcemanager/newrelic/armnewrelicobservability,2025-05-01-preview,,,
Liftr-PAN,PaloAltoNetworks.Cloudngfw,paloaltonetworks,,AlreadyTypeSpec,,,,specification/paloaltonetworks/PaloAltoNetworks.Management/tspconfig.yaml,2025-10-08,sdk/resourcemanager/paloaltonetworksngfw/armpanngfw,2025-10-08,,,
Azure Database for PostgreSQL - Flexible Server,microsoft.dbforpostgresql,postgresql,,AlreadyTypeSpec,,,VersionNotEqual,specification/postgresql/DBforPostgreSQL.Management/tspconfig.yaml,2025-08-01,sdk/resourcemanager/postgresql/armpostgresqlflexibleservers,2026-01-01-preview,,,
Arc Appliance,Microsoft.ResourceConnector,resourceconnector,,AlreadyTypeSpec,,,VersionNotEqual,specification/resourceconnector/resource-manager/Microsoft.ResourceConnector/ResourceConnector/tspconfig.yaml,2022-10-27,sdk/resourcemanager/resourceconnector/armresourceconnector,2025-03-01-preview,,,
WATM (offering: Traffic Manager),Microsoft.Network,trafficmanager,,Premium,,,,specification/trafficmanager/resource-manager/Microsoft.Network/TrafficManager/tspconfig.yaml,2022-04-01,sdk/resourcemanager/trafficmanager/armtrafficmanager,2022-04-01,,,
API Management,microsoft.apimanagement,apimanagement,,Done,,,VersionNotEqual,specification/apimanagement/resource-manager/Microsoft.ApiManagement/ApiManagement/tspconfig.yaml,2025-03-01-preview,sdk/resourcemanager/apimanagement/armapimanagement,2024-05-01,,,
Microsoft Azure Attestation,Microsoft.Attestation,attestation,,Done,,,VersionNotEqual,specification/attestation/resource-manager/Microsoft.Attestation/Attestation/tspconfig.yaml,2021-06-01,sdk/resourcemanager/attestation/armattestation,2020-10-01,,,
Azure Batch,Microsoft.Batch,batch,,Done,,,VersionNotEqual,specification/batch/resource-manager/Microsoft.Batch/Batch/tspconfig.yaml,2024-07-01,sdk/resourcemanager/batch/armbatch,2025-06-01,,,
